,Основная отрасль,"Среднесписочная численность персонала, работающего в Москве, чел. 2021","Средняя з.п. сотрудников, работающих в Москве,  тыс.руб. 2021","Налоги, уплаченные в бюджет Москвы, тыс.руб. 2022","Налог на прибыль, тыс.руб. 2022","Налог на имущество, тыс.руб. 2022","Налог на землю, тыс.руб. 2022","НДФЛ, тыс.руб. 2022","Транспортный налог, тыс.руб. 2022",Прочие налоги 2022,Cумма затрат на оборудование тыс.руб.,Кол-во единиц,"Кадастровая стоимость имущества, тыс.руб. 2022",Кадастровая стоимость земли тыс.руб. 2022,Адм.округ Москвы,"Средн.кадастр.стоимость 
1 кв.м., руб.",Возможная площадь кв.м.,Возможная площадь недвижимости кв.м.,Прибыль тыс.руб. 2022,Аренда Земли,Аренда Здания,Площадь аренды,Цена за аренду тыс.руб.
0,0,3281.812175,85.59601036,919608.1706,270214.857,41792.75174,3094.458,576017.4715,119.18775,28369.44464,4417.608,15,2089637.587,206297.2,0,15492.36,13316.060303272065,17413.646558333334,1351074.285,0,0,0,0.0
1,0,3281.812175,85.59601036,919608.1706,270214.857,41792.75174,3094.458,576017.4715,119.18775,28369.44464,4417.608,15,2089637.587,206297.2,1,11703.22,17627.388017998466,17413.646558333334,1351074.285,0,0,0,0.0
2,0,3281.812175,85.59601036,919608.1706,270214.857,41792.75174,3094.458,576017.4715,119.18775,28369.44464,4417.608,15,2089637.587,206297.2,2,4111.5,50175.65365438404,17413.646558333334,1351074.285,0,0,0,0.0
3,0,3281.812175,85.59601036,919608.1706,270214.857,41792.75174,3094.458,576017.4715,119.18775,28369.44464,4417.608,15,2089637.587,206297.2,3,5333.94,38676.32556796665,17413.646558333334,1351074.285,0,0,0,0.0
4,0,3281.812175,85.59601036,919608.1706,270214.857,41792.75174,3094.458,576017.4715,119.18775,28369.44464,4417.608,15,2089637.587,206297.2,4,20532.99,10047.109553942217,17413.646558333334,1351074.285,0,0,0,0.0
5,0,3281.812175,85.59601036,919608.1706,270214.857,41792.75174,3094.458,576017.4715,119.18775,28369.44464,4417.608,15,2089637.587,206297.2,5,19485.33,10587.30850337151,17413.646558333334,1351074.285,0,0,0,0.0
6,0,3281.812175,85.59601036,919608.1706,270214.857,41792.75174,3094.458,576017.4715,119.18775,28369.44464,4417.608,15,2089637.587,206297.2,6,19961.59,10334.70780634208,17413.646558333334,1351074.285,0,0,0,0.0
7,0,3281.812175,85.59601036,919608.1706,270214.857,41792.75174,3094.458,576017.4715,119.18775,28369.44464,4417.608,15,2089637.587,206297.2,7,2890.51,71370.51938931191,17413.646558333334,1351074.285,0,0,0,0.0
8,0,3281.812175,85.59601036,919608.1706,270214.857,41792.75174,3094.458,576017.4715,119.18775,28369.44464,4417.608,15,2089637.587,206297.2,8,63274.79,3260.33796398218,17413.646558333334,1351074.285,0,0,0,0.0
9,0,3281.812175,85.59601036,919608.1706,270214.857,41792.75174,3094.458,576017.4715,119.18775,28369.44464,4417.608,15,2089637.587,206297.2,9,13510.37,15269.544801511727,17413.646558333334,1351074.285,0,0,0,0.0
10,0,3281.812175,85.59601036,919608.1706,270214.857,41792.75174,3094.458,576017.4715,119.18775,28369.44464,4417.608,15,2089637.587,206297.2,10,14086.97,14644.540309236125,17413.646558333334,1351074.285,0,0,0,0.0
11,0,3281.812175,85.59601036,919608.1706,270214.857,41792.75174,3094.458,576017.4715,119.18775,28369.44464,4417.608,15,2089637.587,206297.2,11,16423.1,12561.404363366235,17413.646558333334,1351074.285,0,0,0,0.0
12,0,3281.812175,85.59601036,919608.1706,270214.857,41792.75174,3094.458,576017.4715,119.18775,28369.44464,18556.644600000003,50,2089637.587,206297.2,0,15492.36,13316.060303272065,17413.646558333334,1351074.285,0,0,0,0.0
13,0,3281.812175,85.59601036,919608.1706,270214.857,41792.75174,3094.458,576017.4715,119.18775,28369.44464,18556.644600000003,50,2089637.587,206297.2,1,11703.22,17627.388017998466,17413.646558333334,1351074.285,0,0,0,0.0
14,0,3281.812175,85.59601036,919608.1706,270214.857,41792.75174,3094.458,576017.4715,119.18775,28369.44464,18556.644600000003,50,2089637.587,206297.2,2,4111.5,50175.65365438404,17413.646558333334,1351074.285,0,0,0,0.0
15,0,3281.812175,85.59601036,919608.1706,270214.857,41792.75174,3094.458,576017.4715,119.18775,28369.44464,18556.644600000003,50,2089637.587,206297.2,3,5333.94,38676.32556796665,17413.646558333334,1351074.285,0,0,0,0.0
16,0,3281.812175,85.59601036,919608.1706,270214.857,41792.75174,3094.458,576017.4715,119.18775,28369.44464,18556.644600000003,50,2089637.587,206297.2,4,20532.99,10047.109553942217,17413.646558333334,1351074.285,0,0,0,0.0
17,0,3281.812175,85.59601036,919608.1706,270214.857,41792.75174,3094.458,576017.4715,119.18775,28369.44464,18556.644600000003,50,2089637.587,206297.2,5,19485.33,10587.30850337151,17413.646558333334,1351074.285,0,0,0,0.0
18,0,3281.812175,85.59601036,919608.1706,270214.857,41792.75174,3094.458,576017.4715,119.18775,28369.44464,18556.644600000003,50,2089637.587,206297.2,6,19961.59,10334.70780634208,17413.646558333334,1351074.285,0,0,0,0.0
19,0,3281.812175,85.59601036,919608.1706,270214.857,41792.75174,3094.458,576017.4715,119.18775,28369.44464,18556.644600000003,50,2089637.587,206297.2,7,2890.51,71370.51938931191,17413.646558333334,1351074.285,0,0,0,0.0
20,0,3281.812175,85.59601036,919608.1706,270214.857,41792.75174,3094.458,576017.4715,119.18775,28369.44464,18556.644600000003,50,2089637.587,206297.2,8,63274.79,3260.33796398218,17413.646558333334,1351074.285,0,0,0,0.0
21,0,3281.812175,85.59601036,919608.1706,270214.857,41792.75174,3094.458,576017.4715,119.18775,28369.44464,18556.644600000003,50,2089637.587,206297.2,9,13510.37,15269.544801511727,17413.646558333334,1351074.285,0,0,0,0.0
22,0,3281.812175,85.59601036,919608.1706,270214.857,41792.75174,3094.458,576017.4715,119.18775,28369.44464,18556.644600000003,50,2089637.587,206297.2,10,14086.97,14644.540309236125,17413.646558333334,1351074.285,0,0,0,0.0
23,0,3281.812175,85.59601036,919608.1706,270214.857,41792.75174,3094.458,576017.4715,119.18775,28369.44464,18556.644600000003,50,2089637.587,206297.2,11,16423.1,12561.404363366235,17413.646558333334,1351074.285,0,0,0,0.0
24,0,3281.812175,85.59601036,919608.1706,270214.857,41792.75174,3094.458,576017.4715,119.18775,28369.44464,67006.5396,100,2089637.587,206297.2,0,15492.36,13316.060303272065,17413.646558333334,1351074.285,0,0,0,0.0
25,0,3281.812175,85.59601036,919608.1706,270214.857,41792.75174,3094.458,576017.4715,119.18775,28369.44464,67006.5396,100,2089637.587,206297.2,1,11703.22,17627.388017998466,17413.646558333334,1351074.285,0,0,0,0.0
26,0,3281.812175,85.59601036,919608.1706,270214.857,41792.75174,3094.458,576017.4715,119.18775,28369.44464,67006.5396,100,2089637.587,206297.2,2,4111.5,50175.65365438404,17413.646558333334,1351074.285,0,0,0,0.0
27,0,3281.812175,85.59601036,919608.1706,270214.857,41792.75174,3094.458,576017.4715,119.18775,28369.44464,67006.5396,100,2089637.587,206297.2,3,5333.94,38676.32556796665,17413.646558333334,1351074.285,0,0,0,0.0
28,0,3281.812175,85.59601036,919608.1706,270214.857,41792.75174,3094.458,576017.4715,119.18775,28369.44464,67006.5396,100,2089637.587,206297.2,4,20532.99,10047.109553942217,17413.646558333334,1351074.285,0,0,0,0.0
29,0,3281.812175,85.59601036,919608.1706,270214.857,41792.75174,3094.458,576017.4715,119.18775,28369.44464,67006.5396,100,2089637.587,206297.2,5,19485.33,10587.30850337151,17413.646558333334,1351074.285,0,0,0,0.0
30,0,3281.812175,85.59601036,919608.1706,270214.857,41792.75174,3094.458,576017.4715,119.18775,28369.44464,67006.5396,100,2089637.587,206297.2,6,19961.59,10334.70780634208,17413.646558333334,1351074.285,0,0,0,0.0
31,0,3281.812175,85.59601036,919608.1706,270214.857,41792.75174,3094.458,576017.4715,119.18775,28369.44464,67006.5396,100,2089637.587,206297.2,7,2890.51,71370.51938931191,17413.646558333334,1351074.285,0,0,0,0.0
32,0,3281.812175,85.59601036,919608.1706,270214.857,41792.75174,3094.458,576017.4715,119.18775,28369.44464,67006.5396,100,2089637.587,206297.2,8,63274.79,3260.33796398218,17413.646558333334,1351074.285,0,0,0,0.0
33,0,3281.812175,85.59601036,919608.1706,270214.857,41792.75174,3094.458,576017.4715,119.18775,28369.44464,67006.5396,100,2089637.587,206297.2,9,13510.37,15269.544801511727,17413.646558333334,1351074.285,0,0,0,0.0
34,0,3281.812175,85.59601036,919608.1706,270214.857,41792.75174,3094.458,576017.4715,119.18775,28369.44464,67006.5396,100,2089637.587,206297.2,10,14086.97,14644.540309236125,17413.646558333334,1351074.285,0,0,0,0.0
35,0,3281.812175,85.59601036,919608.1706,270214.857,41792.75174,3094.458,576017.4715,119.18775,28369.44464,67006.5396,100,2089637.587,206297.2,11,16423.1,12561.404363366235,17413.646558333334,1351074.285,0,0,0,0.0
36,0,3773.0,67.66202722,837049.2302,460795.1905,6950.94897,0.0,358110.0736,479.28039,10713.73676,4417.608,15,347547.4485,0.0,0,15492.36,0.0,2896.2287375,2303975.9525,1,0,1000,232.38540000000003
37,0,3773.0,67.66202722,837049.2302,460795.1905,6950.94897,0.0,358110.0736,479.28039,10713.73676,4417.608,15,347547.4485,0.0,1,11703.22,0.0,2896.2287375,2303975.9525,1,0,200,35.10966
38,0,3773.0,67.66202722,837049.2302,460795.1905,6950.94897,0.0,358110.0736,479.28039,10713.73676,4417.608,15,347547.4485,0.0,2,4111.5,0.0,2896.2287375,2303975.9525,1,0,500,30.83625
